id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.municipality,children_count.commune,zip_codes,geo.lat,geo.lon
AO11094,2,Município,Municipality,Luanda,Luanda,luanda-ao11094,AO11094,,AO11,Luanda,Luanda,,,16,,-8.832,13.244
AO11098,2,Município,Municipality,Belas (Samba),Belas (Samba),belas-samba-ao11098,AO11098,,AO11,Luanda,Luanda,,,6,,-9.115,13.151
AO11100,2,Município,Municipality,Viana,Viana,viana-ao11100,AO11100,,AO11,Luanda,Luanda,,,2,,-9.008,13.399
AO12,1,Província,Province,Lunda Norte,Lunda Norte,lunda-norte-ao12,AO12,,,,,,9,25,,-8.599,19.35
AO12101,2,Município,Municipality,Cambulo,Cambulo,cambulo-ao12101,AO12101,,AO12,Lunda Norte,Lunda Norte,,,4,,-7.93,21.442
AO12102,2,Município,Municipality,Capenda-Camulemba,Capenda-Camulemba,capenda-camulemba-ao12102,AO12102,,AO12,Lunda Norte,Lunda Norte,,,2,,-9.686,18.931
AO12103,2,Município,Municipality,Caungula,Caungula,caungula-ao12103,AO12103,,AO12,Lunda Norte,Lunda Norte,,,2,,-8.366,18.804
AO12104,2,Município,Municipality,Chitato (Lóvua),Chitato (Lóvua),chitato-lvua-ao12104,AO12104,,AO12,Lunda Norte,Lunda Norte,,,3,,-7.394,20.459
AO12105,2,Município,Municipality,Cuango,Cuango,cuango-ao12105,AO12105,,AO12,Lunda Norte,Lunda Norte,,,2,,-8.667,18.123
AO12106,2,Município,Municipality,Cuilo,Cuilo,cuilo-ao12106,AO12106,,AO12,Lunda Norte,Lunda Norte,,,2,,-8.011,19.682
AO12107,2,Município,Municipality,Lubalo,Lubalo,lubalo-ao12107,AO12107,,AO12,Lunda Norte,Lunda Norte,,,3,,-9.281,19.339
AO12108,2,Município,Municipality,Lucapa,Lucapa,lucapa-ao12108,AO12108,,AO12,Lunda Norte,Lunda Norte,,,4,,-8.526,20.626
AO12109,2,Município,Municipality,Xá-Muteba,Xá-Muteba,x-muteba-ao12109,AO12109,,AO12,Lunda Norte,Lunda Norte,,,3,,-9.138,17.815
AO13,1,Província,Province,Lunda Sul,Lunda Sul,lunda-sul-ao13,AO13,,,,,,4,16,,-9.897,20.954
